number,specname
1,so4_conc_1
2,so4_conc_2
3,so4_conc_3
4,no3_conc_1
5,no3_conc_2
6,no3_conc_3
7,cl_conc_1
8,cl_conc_2
9,cl_conc_3
10,nh4_conc_1
11,nh4_conc_2
12,nh4_conc_3
13,msa_conc_1
14,msa_conc_2
15,msa_conc_3
16,aro1_conc_1
17,aro1_conc_2
18,aro1_conc_3
19,aro2_conc_1
20,aro2_conc_2
21,aro2_conc_3
22,alk1_conc_1
23,alk1_conc_2
24,alk1_conc_3
25,ole1_conc_1
26,ole1_conc_2
27,ole1_conc_3
28,api1_conc_1
29,api1_conc_2
30,api1_conc_3
31,api2_conc_1
32,api2_conc_2
33,api2_conc_3
34,lim1_conc_1
35,lim1_conc_2
36,lim1_conc_3
37,lim2_conc_1
38,lim2_conc_2
39,lim2_conc_3
40,co3_conc_1
41,co3_conc_2
42,co3_conc_3
43,na_conc_1
44,na_conc_2
45,na_conc_3
46,ca_conc_1
47,ca_conc_2
48,ca_conc_3
49,oin_conc_1
50,oin_conc_2
51,oin_conc_3
52,oc_conc_1
53,oc_conc_2
54,oc_conc_3
55,bc_conc_1
56,bc_conc_2
57,bc_conc_3
58,h2o_conc_1
59,h2o_conc_2
60,h2o_conc_3
61,H2SO4
62,HNO3
63,HCL
64,NH3
65,NO
66,NO2
67,NO3
68,N2O5
69,HONO
70,HNO4
71,O3
72,O1D
73,O3P
74,OH
75,HO2
76,H2O2
77,CO
78,SO2
79,CH4
80,C2H6
81,CH3O2
82,ETHP
83,HCHO
84,CH3OH
85,ANOL
86,CH3OOH
87,ETHOOH
88,ALD2
89,HCOOH
90,RCOOH
91,C2O3
92,PAN
93,DMS
94,MSA
95,DMSO
96,DMSO2
97,CH3SO2
98,CH3SO3
99,C2H5OH
100,NPROPOL
101,IPROPOL
102,NBUTOL
103,BUT2OL
104,IBUTOL
105,TBUTOL
106,PECOH
107,IPEAOH
108,ME3BUOL
109,IPECOH
110,IPEBOH
111,CYHEXOL
112,MIBKAOH
113,ETHGLY
114,PROPGLY
115,MBO
116,CH3CHO
117,C2H5CHOOA
118,C3H7CHO
119,IPRCHO
120,C4H9CHO
121,ACR
122,MACR
123,C4ALDB
124,C3H8
125,NC4H10
126,IC4H10
127,NC5H12
128,IC5H12
129,NEOP
130,NC6H14
131,M2PE
132,M3PE
133,M22C4
134,M23C4
135,NC7H16
136,M2HEX
137,M3HEX
138,NC8H18
139,NC9H20
140,NC10H22
141,NC11H24
142,NC12H26
143,CHEX
144,C2H4
145,C3H6
146,BUT1ENE
147,CBUT2ENE
148,TBUT2ENE
149,MEPROPENE
150,PENT1ENE
151,CPENT2ENE
152,TPENT2ENE
153,ME2BUT1ENE
154,ME3BUT1ENE
155,ME2BUT2ENE
156,HEX1ENE
157,CHEX2ENE
158,THEX2ENE
159,DM23BU2ENE
160,C2H2
161,BENZENE
162,TOLUENE
163,OXYL
164,MXYL
165,PXYL
166,EBENZ
167,PBENZ
168,IPBENZ
169,TM123B
170,TM124B
171,TM135B
172,OETHTOL
173,PETHTOL
174,DIME35EB
175,DIET35TOL
176,STYRENE
177,BENZAL
178,XYL
179,CH2CL2
180,CHCL3
181,CH3CCL3
182,TCE
183,TRICLETH
184,CDICLETH
185,TDICLETH
186,CH2CLCH2CL
187,CCL2CH2
188,CL12PROP
189,CHCL2CH3
190,CH3CH2CL
191,CHCL2CHCL2
192,CH2CLCHCL2
193,VINCL
194,C4H6
195,C5H8
196,CH3OCHO
197,METHACET
198,ETHACETOH
199,NPROACET
200,IPROACET
201,NBUTACET
202,SBUTACET
203,TBUACET
204,CH3OCH3
205,DIETETHER
206,MTBE
207,DIIPRETHER
208,ETBE
209,MO2EOL
210,EOX2EOL
211,PR2OHMOX
212,BUOX2ETOH
213,BOX2PROL
214,CH3BR
215,DIBRET
216,CH3COCH3
217,MEK
